study_id,study_site,country_iso2,age_group,time,non_wasted_time,mild_time,moderate_time,severe_time,non_to_mild,mild_to_moderate,moderate_to_severe,non_to_moderate,non_to_severe,mild_to_severe,mild_to_non,moderate_to_mild,severe_to_moderate,severe_to_mild,moderate_to_non,severe_to_non,i_non_mild,i_mild_mod,i_mild_severe,i_mod_severe,i_non_mod,i_non_severe,r_mild_non,r_mod_mild,r_severe_mod,r_moderate_non,r_severe_non,r_severe_mild
Ilins-Dyad,Ilins-Dyad MW,MW,<27 days,221,201,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA
Ilins-Dyad,Ilins-Dyad MW,MW,1 to 5 months,4737,4176,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA
Ilins-Dyad,Ilins-Dyad MW,MW,6 to 12 months,8715,8148,567,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0.000245459,0,0,NA,0,0,0.010582011,NA,NA,NA,NA,NA
Ilins-Dyad,Ilins-Dyad MW,MW,1 to 4 years,241188,202287,38901,0,0,56,0,0,0,0,0,64,0,0,0,0,0,0.000276834,0,0,NA,0,0,0.001645202,NA,NA,NA,NA,NA
GMS_NEPAL,GMS NEPAL NP,NP,1 to 5 months,88565,53237,24469,7832,3027,180,91,28,26,10,9,286,117,27,25,37,16,0.003381107,0.003718991,0.000367812,0.003575077,0.000488382,0.000187839,0.011688259,0.014938713,0.008919722,0.004724208,0.005285761,0.008259002
GMS_NEPAL,GMS NEPAL NP,NP,6 to 12 months,68182,34599,23262,8388,1933,170,88,17,10,1,3,50,40,3,1,5,2,0.004913437,0.003782994,0.000128966,0.002026705,0.000289026,2.89E-05,0.002149428,0.004768717,0.001551992,0.00059609,0.001034661,0.000517331
GMS_NEPAL,GMS NEPAL NP,NP,1 to 4 years,201905,85290,72167,35121,9327,223,137,36,21,4,16,218,115,35,17,35,4,0.002614609,0.001898375,0.000221708,0.001025028,0.000246219,4.69E-05,0.003020771,0.003274394,0.003752546,0.000996555,0.000428862,0.001822665
GMS_NEPAL,GMS NEPAL NP,NP,<27 days,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
Ilins-Dose,Ilins-Dose MW,MW,6 to 12 months,11048,10038,554,365,91,1,1,0,1,0,1,0,0,0,0,0,0,9.96E-05,0.001805054,0.001805054,0,9.96E-05,0,0,0,0,0,0,0
Ilins-Dose,Ilins-Dose MW,MW,1 to 4 years,20142,15834,2440,1699,169,11,3,0,2,1,0,2,2,0,1,0,0,0.000694708,0.001229508,0,0,0.00012631,6.32E-05,0.000819672,0.001177163,0,0,0,0.00591716
Ilins-Dose,Ilins-Dose MW,MW,1 to 5 months,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAS_LBW,SAS LBW IN,IN,1 to 5 months,82265,45197,25684,8217,3167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAS_LBW,SAS LBW IN,IN,6 to 12 months,347514,171969,117422,45764,12359,465,231,43,57,3,30,315,167,52,21,43,6,0.002703976,0.001967263,0.000255489,0.000939603,0.000331455,1.74E-05,0.002682632,0.003649157,0.00420746,0.000939603,0.000485476,0.001699167
SAS_LBW,SAS LBW IN,IN,1 to 4 years,81029,34559,29381,14459,2630,226,164,34,19,0,7,111,80,22,4,13,0,0.006539541,0.005581839,0.000238249,0.002351477,0.000549784,0,0.003777952,0.005532886,0.008365019,0.000899094,0,0.001520913
MAL-ED,MAL-ED BD,BD,1 to 5 months,38115,30729,5804,1232,350,60,12,3,5,1,4,101,16,4,9,25,3,0.001952553,0.00206754,0.00068918,0.002435065,0.000162713,3.25E-05,0.017401792,0.012987013,0.011428571,0.020292208,0.008571429,0.025714286
MAL-ED,MAL-ED BD,BD,6 to 12 months,43726,33048,8643,1723,312,100,20,4,1,0,1,58,15,5,1,3,0,0.003025902,0.002314011,0.000115701,0.002321532,3.03E-05,0,0.006710633,0.008705746,0.016025641,0.001741149,0,0.003205128
MAL-ED,MAL-ED BD,BD,1 to 4 years,81090,48622,24898,7390,180,149,69,5,1,0,1,134,61,6,0,1,0,0.003064456,0.002771307,4.02E-05,0.00067659,2.06E-05,0,0.005381958,0.008254398,0.033333333,0.000135318,0,0
MAL-ED,MAL-ED BD,BD,<27 days,5482,3040,1547,705,190,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.002836879,0,0
MAL-ED,MAL-ED BR,BR,<27 days,3606,3136,346,124,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.002890173,0,NA,0,NA,NA
MAL-ED,MAL-ED BR,BR,1 to 5 months,33496,31559,1579,304,54,30,1,0,4,1,1,39,2,1,0,10,1,0.0009506,0.000633312,0.000633312,0,0.000126747,3.17E-05,0.024699177,0.006578947,0.018518519,0.032894737,0.018518519,0
MAL-ED,MAL-ED BR,BR,6 to 12 months,36909,35242,1395,272,0,19,3,0,0,0,0,19,1,0,0,0,0,0.000539129,0.002150538,0,0,0,0,0.013620072,0.003676471,NA,0,NA,NA
MAL-ED,MAL-ED BR,BR,1 to 4 years,65285,58608,5479,1138,60,38,7,2,0,0,1,28,5,1,1,0,0,0.000648376,0.001277605,0.000182515,0.001757469,0,0,0.005110422,0.004393673,0.016666667,0,0,0.016666667
MAL-ED,MAL-ED IN,IN,<27 days,3789,1783,1323,533,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL-ED,MAL-ED IN,IN,1 to 5 months,36936,23429,10102,2801,604,106,31,8,9,3,2,145,51,14,2,16,2,0.004524307,0.003068699,0.000197981,0.002856123,0.000384139,0.000128046,0.014353593,0.018207783,0.023178808,0.005712246,0.003311258,0.003311258
MAL-ED,MAL-ED IN,IN,6 to 12 months,43142,24470,13705,4222,745,136,58,6,5,0,1,106,42,7,0,2,1,0.005557826,0.004232032,7.30E-05,0.001421127,0.000204332,0,0.007734404,0.009947892,0.009395973,0.000473709,0.001342282,0
MAL-ED,MAL-ED IN,IN,1 to 4 years,83888,45320,27913,9804,851,147,85,8,3,0,0,157,92,9,1,3,0,0.003243601,0.003045176,0,0.000815993,6.62E-05,0,0.005624619,0.009383925,0.010575793,0.000305998,0,0.001175088
MAL-ED,MAL-ED NP,NP,<27 days,3452,1850,1174,338,90,1,0,0,0,0,0,2,1,0,0,0,0,0.000540541,0,0,0,0,0,0.001703578,0.00295858,0,0,0,0
MAL-ED,MAL-ED NP,NP,1 to 5 months,36259,29502,5285,1370,102,53,15,1,5,1,0,121,29,4,2,12,2,0.001796488,0.002838221,0,0.000729927,0.00016948,3.39E-05,0.022894986,0.021167883,0.039215686,0.008759124,0.019607843,0.019607843
MAL-ED,MAL-ED NP,NP,6 to 12 months,42942,36367,5608,907,60,71,14,2,0,0,0,57,12,2,0,1,0,0.001952319,0.002496434,0,0.002205072,0,0,0.010164051,0.01323043,0.033333333,0.001102536,0,0
MAL-ED,MAL-ED NP,NP,1 to 4 years,84272,66259,15515,2377,121,145,38,1,5,0,1,138,39,1,1,6,0,0.002188382,0.002449243,6.45E-05,0.000420698,7.55E-05,0,0.008894618,0.016407236,0.008264463,0.00252419,0,0.008264463
MAL-ED,MAL-ED PE,PE,<27 days,6103,5037,934,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
MAL-ED,MAL-ED PE,PE,1 to 5 months,43066,42013,851,170,32,16,0,0,4,1,0,54,0,0,0,9,1,0.000380835,0,0,0,9.52E-05,2.38E-05,0.063454759,0,0,0.052941176,0.03125,0
MAL-ED,MAL-ED PE,PE,6 to 12 months,46922,44660,1989,241,32,27,3,0,2,0,1,12,0,0,0,2,1,0.000604568,0.001508296,0.000502765,0,4.48E-05,0,0.006033183,0,0,0.008298755,0.03125,0
MAL-ED,MAL-ED PE,PE,1 to 4 years,80550,72197,6698,1442,213,72,17,3,1,0,0,74,15,2,0,4,0,0.000997271,0.002538071,0,0.002080444,1.39E-05,0,0.011048074,0.010402219,0.009389671,0.002773925,0,0
MAL-ED,MAL-ED SA,SA,<27 days,4277,3503,494,238,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.004201681,0,0
MAL-ED,MAL-ED SA,SA,1 to 5 months,41679,38535,2480,553,111,45,6,2,8,0,0,62,7,0,0,15,2,0.00116777,0.002419355,0,0.003616637,0.000207603,0,0.025,0.012658228,0,0.027124774,0.018018018,0
MAL-ED,MAL-ED SA,SA,6 to 12 months,47686,41430,4940,1121,195,71,21,2,5,1,2,46,11,2,3,7,1,0.001713734,0.004251012,0.000404858,0.001784121,0.000120685,2.41E-05,0.009311741,0.009812667,0.01025641,0.006244425,0.005128205,0.015384615
MAL-ED,MAL-ED SA,SA,1 to 4 years,89633,79342,7960,1910,421,86,20,4,6,1,4,107,26,5,3,7,2,0.001083915,0.002512563,0.000502513,0.002094241,7.56E-05,1.26E-05,0.013442211,0.013612565,0.011876485,0.003664921,0.004750594,0.007125891
MAL-ED,MAL-ED TZ,TZ,<27 days,4551,4257,243,34,17,1,0,0,0,0,0,0,0,0,0,0,0,0.000234907,0,0,0,0,0,0,0,0,0,0,0
MAL-ED,MAL-ED TZ,TZ,1 to 5 months,38750,36273,2259,184,34,55,3,0,3,1,0,54,2,0,0,3,2,0.001516279,0.001328021,0,0,8.27E-05,2.76E-05,0.023904382,0.010869565,0,0.016304348,0.058823529,0
MAL-ED,MAL-ED TZ,TZ,6 to 12 months,44371,39586,4109,616,60,76,9,0,7,1,2,63,6,1,0,7,1,0.001919871,0.002190314,0.000486736,0,0.00017683,2.53E-05,0.015332198,0.00974026,0.016666667,0.011363636,0.016666667,0
MAL-ED,MAL-ED TZ,TZ,1 to 4 years,82647,72710,8810,1031,96,154,17,1,4,1,0,144,14,2,0,10,1,0.002118003,0.001929625,0,0.000969932,5.50E-05,1.38E-05,0.016345062,0.013579049,0.020833333,0.009699321,0.010416667,0
NIH CRYPTO,NIH CRYPTO BD,BD,<27 days,15535,6680,4957,2728,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIH CRYPTO,NIH CRYPTO BD,BD,1 to 5 months,112620,74908,23689,10165,3858,70,13,2,8,2,0,235,33,2,13,101,40,0.00093448,0.000548778,0,0.000196754,0.000106798,2.67E-05,0.009920216,0.003246434,0.000518403,0.009936055,0.010368066,0.003369622
